,source,target,method,citation_link,source_case_topic,link,Similarity Type,Similarity Method,Model
0,62017CJ0634,62012CJ0292,tfidf-quintgram-nostem,False,public health,62017CJ063462012CJ0292,Syntactic,Index,TF-IDF Quintgrams
1,62017CJ0634,62008CJ0248,tfidf-quintgram-nostem,False,public health,62017CJ063462008CJ0248,Syntactic,Index,TF-IDF Quintgrams
2,62017CJ0634,62005CJ0176,tfidf-quintgram-nostem,True,public health,62017CJ063462005CJ0176,Syntactic,Index,TF-IDF Quintgrams
3,62017CJ0634,62013CJ0551,tfidf-quintgram-nostem,False,public health,62017CJ063462013CJ0551,Syntactic,Index,TF-IDF Quintgrams
4,62017CJ0634,61997CJ0365,tfidf-quintgram-nostem,False,public health,62017CJ063461997CJ0365,Syntactic,Index,TF-IDF Quintgrams
5,62017CJ0634,62010CJ0405,tfidf-nostem,False,public health,62017CJ063462010CJ0405,Syntactic,Index,TF-IDF
6,62017CJ0634,62014CJ0487,tfidf-nostem,False,public health,62017CJ063462014CJ0487,Syntactic,Index,TF-IDF
7,62017CJ0634,62005CJ0176,tfidf-nostem,True,public health,62017CJ063462005CJ0176,Syntactic,Index,TF-IDF
8,62017CJ0634,62015CJ0069,tfidf-nostem,False,public health,62017CJ063462015CJ0069,Syntactic,Index,TF-IDF
9,62017CJ0634,62008CJ0248,tfidf-nostem,False,public health,62017CJ063462008CJ0248,Syntactic,Index,TF-IDF
10,62017CJ0634,62017CJ0518,law2vec_200,False,public health,62017CJ063462017CJ0518,Semantic,Cosine Similarity,Law2Vec Embeddings
11,62017CJ0634,62015CJ0177,law2vec_200,False,public health,62017CJ063462015CJ0177,Semantic,Cosine Similarity,Law2Vec Embeddings
12,62017CJ0634,62015CJ0147,law2vec_200,False,public health,62017CJ063462015CJ0147,Semantic,Cosine Similarity,Law2Vec Embeddings
13,62017CJ0634,62017CJ0471,law2vec_200,False,public health,62017CJ063462017CJ0471,Semantic,Cosine Similarity,Law2Vec Embeddings
14,62017CJ0634,62014CJ0309,law2vec_200,False,public health,62017CJ063462014CJ0309,Semantic,Cosine Similarity,Law2Vec Embeddings
15,62017CJ0634,62012CJ0292,jaccard,False,public health,62017CJ063462012CJ0292,Syntactic,Index,Jaccard Distance
16,62017CJ0634,62005CJ0176,jaccard,True,public health,62017CJ063462005CJ0176,Syntactic,Index,Jaccard Distance
17,62017CJ0634,62015CJ0069,jaccard,False,public health,62017CJ063462015CJ0069,Syntactic,Index,Jaccard Distance
18,62017CJ0634,62014CJ0487,jaccard,False,public health,62017CJ063462014CJ0487,Syntactic,Index,Jaccard Distance
19,62017CJ0634,62015CJ0147,jaccard,False,public health,62017CJ063462015CJ0147,Syntactic,Index,Jaccard Distance
20,62017CJ0634,62014CJ0115,doc2vec_256_e30,False,public health,62017CJ063462014CJ0115,Semantic,Cosine Similarity,Doc2Vec Embeddings
21,62017CJ0634,62011CJ0071,doc2vec_256_e30,False,public health,62017CJ063462011CJ0071,Semantic,Cosine Similarity,Doc2Vec Embeddings
22,62017CJ0634,62007CO0277,doc2vec_256_e30,False,public health,62017CJ063462007CO0277,Semantic,Cosine Similarity,Doc2Vec Embeddings
