citation_link,link,method,similarity_link,source,source_case_topic,target,Similarity Type,Similarity Method,Model
False,62003CJ0453-62008CJ0222,law2vec_200,True,62003CJ0453,public health,62008CJ0222,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62008CJ0414,law2vec_200,True,62003CJ0453,public health,62008CJ0414,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62008CJ0141,law2vec_200,True,62003CJ0453,public health,62008CJ0141,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62009CJ0266,law2vec_200,True,62003CJ0453,public health,62009CJ0266,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62008CJ0211,law2vec_200,True,62003CJ0453,public health,62008CJ0211,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62005CJ0266,law2vec_200,True,62003CJ0453,public health,62005CJ0266,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62009CJ0550,law2vec_200,True,62003CJ0453,public health,62009CJ0550,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62005CJ0045,law2vec_200,True,62003CJ0453,public health,62005CJ0045,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62007CJ0208,law2vec_200,True,62003CJ0453,public health,62007CJ0208,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62009CJ0272,law2vec_200,True,62003CJ0453,public health,62009CJ0272,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62006CJ0055,law2vec_200,True,62003CJ0453,public health,62006CJ0055,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62009CJ0263,law2vec_200,True,62003CJ0453,public health,62009CJ0263,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62013CO0389,law2vec_200,True,62003CJ0453,public health,62013CO0389,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62007CJ0275,law2vec_200,True,62003CJ0453,public health,62007CJ0275,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62007CJ0188,law2vec_200,True,62003CJ0453,public health,62007CJ0188,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62009CJ0497,law2vec_200,True,62003CJ0453,public health,62009CJ0497,Semantic,Cosine Similarity,Law2Vec Embeddings
